city,country,latitude,longitude,climate_zone,continent,climate_description
New York,USA,40.71,-74.01,Humid Continental,North America,"Large temp swings, 4 distinct seasons"
Los Angeles,USA,34.05,-118.24,Mediterranean,North America,"Hot dry summers, mild wet winters"
Chicago,USA,41.88,-87.63,Humid Continental,North America,"Large temp swings, 4 distinct seasons"
Houston,USA,29.76,-95.37,Humid Subtropical,North America,"Hot humid summers, mild winters"
Phoenix,USA,33.45,-112.07,Desert,North America,"Very low precipitation, extreme temperatures"
Toronto,Canada,43.65,-79.38,Humid Continental,North America,"Large temp swings, 4 distinct seasons"
Mexico City,Mexico,19.43,-99.13,Subtropical Highland,North America,Mild year-round due to altitude
London,UK,51.51,-0.13,Oceanic,Europe,"Mild temps year-round, high rainfall"
Paris,France,48.85,2.35,Oceanic,Europe,"Mild temps year-round, high rainfall"
Berlin,Germany,52.52,13.4,Oceanic,Europe,"Mild temps year-round, high rainfall"
Madrid,Spain,40.42,-3.7,Mediterranean,Europe,"Hot dry summers, mild wet winters"
Rome,Italy,41.9,12.5,Mediterranean,Europe,"Hot dry summers, mild wet winters"
Amsterdam,Netherlands,52.37,4.9,Oceanic,Europe,"Mild temps year-round, high rainfall"
Vienna,Austria,48.21,16.37,Humid Continental,Europe,"Large temp swings, 4 distinct seasons"
Warsaw,Poland,52.23,21.01,Humid Continental,Europe,"Large temp swings, 4 distinct seasons"
Stockholm,Sweden,59.33,18.07,Subarctic,Europe,"Very cold winters, short cool summers"
Oslo,Norway,59.91,10.75,Subarctic,Europe,"Very cold winters, short cool summers"
Zurich,Switzerland,47.38,8.54,Oceanic,Europe,"Mild temps year-round, high rainfall"
Istanbul,Turkey,41.01,28.95,Mediterranean,Europe,"Hot dry summers, mild wet winters"
Athens,Greece,37.98,23.73,Mediterranean,Europe,"Hot dry summers, mild wet winters"
Moscow,Russia,55.75,37.62,Subarctic,Asia,"Very cold winters, short cool summers"
Dubai,UAE,25.2,55.27,Desert,Asia,"Very low precipitation, extreme temperatures"
Mumbai,India,19.08,72.88,Tropical Monsoon,Asia,
Delhi,India,28.61,77.21,Semi-Arid,Asia,"Low rainfall, hot summers"
Bangalore,India,12.97,77.59,Tropical Savanna,Asia,"Hot year-round, distinct wet & dry seasons"
Tokyo,Japan,35.68,139.69,Humid Subtropical,Asia,"Hot humid summers, mild winters"
Beijing,China,39.9,116.41,Humid Continental,Asia,"Large temp swings, 4 distinct seasons"
Shanghai,China,31.23,121.47,Humid Subtropical,Asia,"Hot humid summers, mild winters"
Singapore,Singapore,1.35,103.82,Tropical Rainforest,Asia,"Hot & wet year-round, no dry season"
Bangkok,Thailand,13.75,100.52,Tropical Savanna,Asia,"Hot year-round, distinct wet & dry seasons"
Seoul,South Korea,37.57,126.98,Humid Continental,Asia,"Large temp swings, 4 distinct seasons"
Hong Kong,China,22.32,114.17,Humid Subtropical,Asia,"Hot humid summers, mild winters"
Kuala Lumpur,Malaysia,3.14,101.69,Tropical Rainforest,Asia,"Hot & wet year-round, no dry season"
Jakarta,Indonesia,-6.21,106.85,Tropical Rainforest,Asia,"Hot & wet year-round, no dry season"
Riyadh,Saudi Arabia,24.69,46.72,Desert,Asia,"Very low precipitation, extreme temperatures"
Cairo,Egypt,30.06,31.25,Desert,Africa,"Very low precipitation, extreme temperatures"
Lagos,Nigeria,6.52,3.38,Tropical Savanna,Africa,"Hot year-round, distinct wet & dry seasons"
Nairobi,Kenya,-1.29,36.82,Tropical Savanna,Africa,"Hot year-round, distinct wet & dry seasons"
Johannesburg,South Africa,-26.2,28.04,Semi-Arid,Africa,"Low rainfall, hot summers"
Casablanca,Morocco,33.59,-7.62,Mediterranean,Africa,"Hot dry summers, mild wet winters"
Sao Paulo,Brazil,-23.55,-46.63,Humid Subtropical,South America,"Hot humid summers, mild winters"
Buenos Aires,Argentina,-34.61,-58.38,Humid Subtropical,South America,"Hot humid summers, mild winters"
Lima,Peru,-12.05,-77.04,Desert,South America,"Very low precipitation, extreme temperatures"
Bogota,Colombia,4.71,-74.07,Subtropical Highland,South America,Mild year-round due to altitude
Santiago,Chile,-33.46,-70.65,Mediterranean,South America,"Hot dry summers, mild wet winters"
Sydney,Australia,-33.87,151.21,Humid Subtropical,Oceania,"Hot humid summers, mild winters"
Melbourne,Australia,-37.81,144.96,Oceanic,Oceania,"Mild temps year-round, high rainfall"
Auckland,New Zealand,-36.86,174.77,Oceanic,Oceania,"Mild temps year-round, high rainfall"
Honolulu,USA,21.31,-157.86,Tropical Savanna,Oceania,"Hot year-round, distinct wet & dry seasons"
Anchorage,USA,61.22,-149.9,Subarctic,North America,"Very cold winters, short cool summers"
